Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
YJL045W,YJL045W,P47052,"Minor succinate dehydrogenase isozyme; participates in oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner; YJL045W has a paralog, SDH1, that arose from the whole genome duplication",2.52,11.22,0.65,,X,,,0.19,0.73,0,,X,,,,,,73%
YJL133C-A,YJL133C-A,Q3E7A3,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",10.28,18.62,0,X,,,,0.98,0,0,,,,X,,,,98%
YJL147C,YJL147C,P47007,Mitochondrial protein of unknown function; homozygous diploid deletion strain has a sporulation defect characterized by elevated dityrosine in the soluble fraction; expression induced by calcium shortage; YJL147W is a non-essential gene,0.38,12.38,0,,X,,,0,0.94,0,,X,,,,,,94%
YJL171C,YJL171C,P46992,"GPI-anchored cell wall protein of unknown function; induced in response to cell wall damaging agents and by mutations in genes involved in cell wall biogenesis; sequence similarity to YBR162C/TOS1, a covalently bound cell wall protein; protein abundance increases in response to DNA replication stress",0.29,0.08,0.91,,,X,,0,0,0.96,,X,,,,,,96%
YJR003C,YJR003C,P47084,Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; predicted to be involved in ribosome biogenesis,0.93,4.89,0.19,,X,,,0,0.84,0.02,,X,,,,,,84%
YJR039W,YJR039W,P47107,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",16.99,--,##,X,,,,0,0,0,,,,X,,,,0%
YJR085C,YJR085C,P47131,"Protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress",0.47,0.27,0,,,X,,0,0,0.96,X,,,,,,,96%
YJR096W,YJR096W,P47137,Xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,3.58,5.63,4.96,,,,X,0.2,0.1,0,,,,,,,,20%
YJR111C,YJR111C,P47148,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondria,4.01,5.38,0.35,,,,X,0.2,0.05,0,,,,,,,,20%
YJU3,YKL094W,P28321,"Monoglyceride lipase (MGL); functional ortholog of mammalian MGL, localizes to lipid particles and membranes, also member of the eukaryotic serine hydrolase family",0.62,7.11,1.47,,X,,,0,0.95,0.01,X,,,,,,,95%
YKL023C-A,YKL023C-A,Q2V2P3,Putative protein of unknown function,1.17,6.45,0,,X,,,0,0.91,0,,X,,,,,,91%
YKL065W-A,YKL065W-A,Q2V2P2,Putative protein of unknown function,0.6,4.91,6.09,,X,,,0,0.87,0.05,,X,,,,,,87%
YKL107W,YKL107W,P34251,Putative short-chain dehydrogenase/reductase; proposed to be a palmitoylated membrane protein,0.8,3.89,##,,X,,,0,0.69,0.09,,X,,,,,,69%
YKL133C,YKL133C,P36066,"Putative protein of unknown function; not required for growth of cells lacking the mitochondrial genome (null mutation does not confer a petite-negative phenotype); YKL133C has a paralog, MGR3, that arose from the whole genome duplication",0.32,0.13,0,,,X,,0,0,0.97,,X,,,,,,97%
YKL151C,YKL151C,P36059,"NADHX dehydratase; converts (S)-NADHX to NADH in an ATP-dependent manner; homologous to Carkd in mammals, and the C-terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; YKL151C promoter contains STREs (stress response elements) and expression is induced by heat shock or methyl methanesulfonate; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress",10.66,11.36,4.18,X,,,,0.97,0,0,,,,X,,,,97%
YKL162C,YKL162C,P36052,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion,0.31,8.4,0,,X,,,0,0.93,0.01,,X,,,,,,93%
YKR070W,YKR070W,P36151,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",2.21,7.21,0.23,,,,X,0.06,0.72,0,,,,,,,,72%
YKT6,YKL196C,P36015,"Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus",0.43,1.18,37.37,,,X,,0,0,0.92,,X,,,,,,92%
YLF2,YHL014C,P38746,"Protein of unknown function; has weak similarity to E. coli GTP-binding protein gtp1; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.83,8.68,0.07,,X,,,0,0.97,0,,X,,,,,,97%
YLH47,YPR125W,Q06493,"Mitochondrial inner membrane protein; exposed to the mitochondrial matrix; associates with mitochondrial ribosomes; NOT required for respiratory growth; homolog of human Letm1, a protein implicated in Wolf-Hirschhorn syndrome",0.26,0.67,0.18,,,X,,0,0,0.95,,X,,,,,,95%
YLR118C,YLR118C,Q12354,Acyl-protein thioesterase responsible for depalmitoylation of Gpa1p; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS,0.68,9.87,0.4,,X,,,0,0.97,0,,X,,,,,,97%
YLR281C,YLR281C,Q05863,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene,3.62,9.14,0.17,X,,,,0.63,0.22,0,,,,X,,,,63%
YLR283W,YLR283W,Q05867,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR283W is not an essential gene,0.62,0.1,0,,,X,,0,0,0.85,,X,,,,,,85%
YLR290C,YLR290C,Q05892,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR290C is not an essential gene",1.6,7.91,0.16,,X,,,0.01,0.9,0,,X,,,,,,90%
YLR361C-A,YLR361C-A,Q3E795,Putative protein of unknown function,0.71,9.57,1.58,,X,,,0,0.97,0,,X,,,,,,97%
YMC1,YPR058W,P32331,"Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication",0.17,0.22,0.28,,,X,,0,0,0.93,,X,,,,,,93%
YMC2,YBR104W,P38087,"Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog, YMC1, that arose from the whole genome duplication",0.23,0.24,0,,,X,,0,0,0.96,,X,,,,,,96%
YME1,YPR024W,P32795,Catalytic subunit of the i-AAA protease complex; complex is located in the mitochondrial inner membrane; responsible for degradation of unfolded or misfolded mitochondrial gene products; serves as a nonconventional translocation motor to pull PNPase into the intermembrane space; also has a role in intermembrane space protein folding; mutation causes an elevated rate of mitochondrial turnover,0.33,0.23,0.21,,,X,,0,0,0.97,,X,,,,,,97%
YME2,YMR302C,P32843,Integral inner mitochondrial membrane protein; role in maintaining mitochondrial nucleoid structure and number; mutants exhibit an increased rate of mitochondrial DNA escape; shows some sequence similarity to exonucleases,0.25,0.24,0.47,,,X,,0,0,0.97,,X,,,,,,97%
YML6,YML025C,P51998,"Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein; essential for viability, unlike most other mitoribosomal proteins",2.35,26.05,0.2,,X,,,0.05,0.9,0,,X,,,,,,90%
YMR099C,YMR099C,Q03161,Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase); likely involved in carbohydrate metabolism; GFP-fusion protein localizes to both the nucleus and cytoplasm and is induced in response to the DNA-damaging agent MMS,0.58,0.51,51.84,,,X,,0,0,0.92,,X,,,,,,92%
YMR166C,YMR166C,Q03829,Predicted transporter of the mitochondrial inner membrane; has similarity to human mitochondrial ATP-Mg/Pi carriers; YMR166C is not an essential gene,0.19,0.11,0,,,X,,0,0,0.94,,X,,,,,,94%
YMR209C,YMR209C,Q03648,Putative S-adenosylmethionine-dependent methyltransferase; YMR209C is not an essential gene,0.49,3.49,0.6,,X,,,0,0.59,0.26,,X,,,,,,59%
YMR295C,YMR295C,Q03559,"Protein of unknown function that associates with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud; not an essential gene; protein abundance increases in response to DNA replication stress; YMR295C has a paralog, YGR273C, that arose from the whole genome duplication",1.33,6.29,3.31,,X,,,0,0.88,0,,X,,,,,,88%
YMR31,YFR049W,P19955,"Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase; recruits E3 subunit (Lpd1p) to the E1-E2 (Kgd1p, Kgd2p) core; has similarity to human mitochondrial ribosomal protein MRP-S36",7.28,24.37,0.26,X,,,,0.94,0.04,0,,,,X,,,,94%
YNK1,YKL067W,P36010,"Nucleoside diphosphate kinase; catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate; protein abundance increases in response to DNA replication stress",11.47,11.84,7.43,X,,,,0.98,0,0,,,X,,,,,98%
YNL122C,YNL122C,P53921,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL122C is not an essential gene,--,0.21,0,,,X,,0,0,0,,X,,,,,,0%
YNL134C,YNL134C,P53912,Protein of unknown function; similar to dehydrogenases from other model organisms; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress,2.2,0.58,27.18,,,,X,0,0,0,,,,,,,,0%
YNL194C,YNL194C,P40169,"Integral membrane protein; required for sporulation and plasma membrane sphingolipid content; similar to SUR7; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; GFP-fusion protein is more abundant at MCCs (membrane compartment occupied by Can1) in the presence of glycerol and oleate; YNL194C has a paralog, FMP45, that arose from the whole genome duplication",1.34,0.58,14.13,,,X,,0,0,0.14,,X,,,,,,14%
YNL200C,YNL200C,P40165,"NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",9.82,5.89,2.77,X,,,,0.55,0,0,,,,X,,,,55%
YNL208W,YNL208W,P40159,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; potential orthologs found in other fungi",4.41,8.79,2.92,X,,,,0.79,0.07,0,,,,X,,,,79%
YNL211C,YNL211C,P53869,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL211C is not an essential gene,--,0.16,0,,,X,,0,0,0,,X,,,,,,0%
YNL247W,YNL247W,P53852,"Cysteinyl-tRNA synthetase; may interact with ribosomes, based on co-purification experiments",3.53,2.81,1.49,,,,X,0,0,0,,,,,,,,0%
YNR021W,YNR021W,P53723,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNR021W is not an essential gene,0.36,0.2,9.24,,,X,,0,0,0.97,X,,,,,,,97%
YNR034W-A,YNR034W-A,Q3E841,"Putative protein of unknown function; expression is regulated by Msn2p/Msn4p; YNR034W-A has a paralog, YCR075W-A, that arose from the whole genome duplication",2.93,8.21,73.93,X,,,,0.31,0.47,0,,,,X,,,,47%
YNR040W,YNR040W,P53736,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.28,0.36,0.05,,,X,,0,0,0.97,,X,,,,,,97%
YOL114C,YOL114C,Q12322,Putative protein of unknown function with similarity to human ICT1; has prokaryotic factors that may function in translation termination; YOL114C is not an essential gene,1.82,1.93,0,,,,X,0,0,0.01,,,,,,,,1%
YOP1,YPR028W,Q12402,Membrane protein that interacts with Yip1p to mediate membrane traffic; interacts with Sey1p to maintain ER morphology; overexpression leads to cell death and accumulation of internal cell membranes; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; forms ER foci upon DNA replication stress,0.28,0.6,1.65,,,X,,0,0,0.96,X,,,,,,,96%
YOR020W-A,YOR020W-A,Q3E824,"Putative protein of unknown function; conserved in A. gossypii; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.47,10.09,2.03,,X,,,0,0.96,0,,X,,,,,,96%
YOR022C,YOR022C,Q12204,"Putative carboxylic ester hydrolase; similar to bovine phospholipase A1; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1.39,5.79,0.37,,X,,,0,0.83,0,,X,,,,,,83%
YOR1,YGR281W,P53049,Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter mediates export of many different organic anions including oligomycin; homolog of human cystic fibrosis transmembrane receptor (CFTR),1.03,0.2,0.41,,X,,,0,0,0.43,,X,,,,,,43%
YOR131C,YOR131C,Q12486,Putative haloacid dehalogenase-like hydrolase; non-essential gene; overexpression causes a cell cycle delay or arrest; protein abundance increases in response to DNA replication stress,0.65,17.59,0,,X,,,0,0.96,0,,X,,,,,,96%
YOR289W,YOR289W,Q12012,Putative protein of unknown function; transcription induced by the unfolded protein response; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,1.13,8.05,1.8,,X,,,0,0.95,0,,X,,,,,,95%
YPL107W,YPL107W,Q02873,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YPL107W is not an essential gene,7.8,7.25,0.33,X,,,,0.83,0,0,,,,X,,,,83%
YPL109C,YPL109C,Q02981,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.23,0.25,0.09,,,X,,0,0,0.96,,X,,,,,,96%
YPL168W,YPL168W,Q12467,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; expression may be cell cycle-regulated,0.28,0.39,0,,,X,,0,0,0.97,,X,,,,,,97%
YPL199C,YPL199C,Q08954,Putative protein of unknown function; predicted to be palmitoylated,0.33,0.48,0.71,,,X,,0,0,0.97,,X,,,,,,97%
YPR010C-A,YPR010C-A,A5Z2X5,Putative protein of unknown function; conserved among Saccharomyces sensu stricto species,0.75,22.25,0.2,,X,,,0,0.95,0,,X,,,,,,95%
YPR011C,YPR011C,Q12251,"Mitochondrial transporter; major substrates are adenosine 5'-phosphosulfate (APS) and 3'-phospho-adenosine 5'-phosphosulfate (PAPS); member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.22,0.33,0,,,X,,0,0,0.96,,X,,,,,,96%
